field_id,days_since_harvest,residue_load_tons_per_ha,past_burn_history,days_until_next_sowing,distance_to_nearest_chc_km,avg_temp_c,wind_speed_kmph,risk_score
F0046,13,6.05,0,17,11.08,38.0,18.8,34
F0047,16,1.34,1,24,19.87,32.7,11.7,52
F0048,3,6.47,0,21,7.59,24.2,15.3,17
F0049,17,6.8,1,19,6.15,34.0,21.2,56
F0050,7,6.25,1,7,27.59,18.9,20.5,100
F0051,3,6.6,0,23,3.5,15.7,21.9,26
F0052,1,6.78,0,9,15.43,19.7,3.4,70
F0053,5,2.3,0,7,7.02,22.8,17.9,45
F0054,9,2.65,1,13,1.65,26.7,5.2,55
F0055,3,5.44,0,11,1.56,29.1,11.6,45
F0056,17,7.36,1,14,5.67,35.9,14.6,72
F0057,11,3.21,1,19,26.07,26.7,11.3,63
F0058,1,5.12,0,11,8.83,26.5,14.0,44
F0059,9,5.78,0,13,28.54,16.2,24.9,57
F0060,3,4.16,1,14,17.66,15.8,5.1,77
F0061,13,6.0,1,13,13.38,27.7,17.5,69
F0062,15,7.3,0,1,17.61,25.1,11.1,95
F0063,14,5.37,0,8,15.74,34.3,5.1,72
F0064,7,4.78,1,12,22.88,18.7,5.7,83
F0065,13,4.07,0,19,8.83,15.6,23.8,24
F0066,7,5.04,1,12,10.91,25.3,22.2,64
F0067,15,3.49,0,8,26.88,20.5,22.9,70
F0068,12,3.74,0,8,28.42,16.1,24.8,65
F0069,17,4.72,1,21,26.83,31.7,6.8,53
F0070,14,1.47,0,13,12.87,17.6,10.2,20
F0071,12,2.6,0,12,23.52,29.0,17.4,59
F0072,8,4.8,0,16,14.55,21.5,13.1,30
F0073,14,4.02,0,1,15.18,19.0,11.6,93
F0074,12,3.33,1,13,6.54,23.7,10.2,51
F0075,0,6.11,0,7,17.94,33.4,15.7,92
F0076,6,5.86,0,5,5.99,24.0,15.2,73
F0077,8,2.17,1,8,10.28,32.3,5.7,68
F0078,0,7.15,1,14,25.72,17.9,12.9,85
F0079,11,4.47,0,23,6.61,32.8,14.7,22
F0080,7,6.19,0,13,2.6,20.4,15.1,49
F0081,10,5.01,1,15,2.54,30.6,6.8,61
F0082,18,7.98,1,23,28.25,28.0,19.1,72
F0083,16,6.27,0,17,15.45,36.4,2.6,52
F0084,7,5.95,0,15,12.58,23.9,10.2,30
F0085,2,6.45,0,20,24.42,16.5,19.9,39
F0086,2,2.0,1,18,25.16,15.4,15.0,46
F0087,0,2.43,1,18,10.3,34.0,8.0,44
F0088,4,6.0,1,2,20.96,27.1,18.0,100
F0089,9,4.46,1,4,23.25,32.8,15.0,98
F0090,6,6.28,1,1,19.81,20.4,20.3,100
F0091,8,1.72,0,4,4.97,22.9,18.9,56
F0092,6,4.76,0,18,26.34,15.7,16.0,39
F0093,8,3.65,0,5,16.4,37.1,13.2,69
F0094,7,4.2,0,19,8.83,30.4,5.1,11
F0095,11,5.23,1,15,13.04,36.5,8.0,61
F0096,1,4.52,0,8,1.61,21.1,11.6,51
F0097,0,4.78,0,20,4.27,29.1,15.8,18
F0098,15,4.4,0,17,23.08,30.6,13.8,41
F0099,4,3.86,0,1,0.5,22.3,8.6,75
F0100,2,6.4,0,12,12.79,34.5,2.1,54
F0101,11,1.09,0,19,15.91,36.8,13.4,23
F0102,7,5.19,1,15,2.11,35.4,8.6,59
F0103,2,4.96,0,9,29.21,32.0,18.9,68
F0104,0,6.01,1,7,7.17,21.4,2.6,86
F0105,2,5.19,0,2,9.47,21.5,15.5,67
F0106,4,6.79,0,9,9.47,37.2,23.7,66
F0107,14,7.71,0,10,7.3,15.2,6.0,65
F0108,13,3.4,0,2,0.54,31.5,12.8,78
F0109,2,2.59,1,19,22.02,31.2,4.1,65
F0110,0,3.97,0,11,29.02,29.3,16.4,52
F0111,4,3.02,0,13,7.12,37.8,14.7,31
F0112,13,5.3,1,10,20.06,22.2,11.4,100
F0113,6,7.38,0,14,22.39,22.8,14.0,62
F0114,8,1.97,0,18,25.53,16.8,22.6,30
F0115,14,1.71,1,19,12.97,25.2,6.5,27
F0116,14,2.79,1,22,9.44,21.0,2.5,37
F0117,9,6.08,0,9,10.1,22.9,21.8,67
F0118,12,5.15,1,7,21.52,34.2,15.3,100
F0119,18,1.72,1,3,24.59,36.5,22.5,95
F0120,6,7.43,0,20,5.86,19.3,15.7,28
F0121,16,6.53,1,6,11.44,23.6,20.6,87
F0122,19,1.16,0,21,27.11,36.4,11.9,15
F0123,3,5.56,0,2,24.3,16.4,19.2,82
F0124,4,6.4,0,6,29.55,17.1,23.0,82
F0125,6,3.62,0,3,22.75,18.7,15.2,88
F0126,12,1.48,1,16,12.1,28.7,6.2,45
F0127,14,1.54,0,8,17.92,18.5,8.2,64
F0128,10,1.73,1,2,20.0,37.3,6.6,100
F0129,3,6.88,1,17,2.81,25.3,7.7,59
F0130,12,7.37,0,9,16.56,26.5,9.0,74
F0131,6,1.86,1,12,21.42,20.7,14.8,68
F0132,18,2.65,0,3,5.44,25.8,15.5,53
F0133,1,2.16,0,11,23.53,30.2,11.8,51
F0134,9,2.3,1,1,17.72,32.3,16.2,92
F0135,12,6.86,0,23,28.59,32.3,3.9,45
F0136,5,3.33,0,13,1.75,28.3,4.0,35
F0137,11,3.18,0,15,8.33,35.8,6.0,30
F0138,11,2.59,0,5,18.25,33.8,13.9,76
F0139,19,5.26,0,21,9.25,32.4,6.9,22
F0140,10,3.66,0,17,21.58,16.3,8.5,47
F0141,6,6.21,1,23,22.89,15.2,11.2,68
F0142,0,2.44,0,24,3.52,19.9,20.7,6
F0143,0,6.51,0,6,15.66,30.3,2.3,82
F0144,19,5.23,0,21,15.51,24.5,16.9,25
F0145,12,1.8,0,22,11.39,24.3,17.4,3
F0146,8,3.9,1,11,28.02,35.3,20.4,81
F0147,2,7.04,1,18,24.91,35.6,23.5,77
F0148,6,7.46,1,4,21.07,35.9,2.5,100
F0149,5,4.26,0,3,21.57,22.2,5.5,77
F0150,7,4.37,0,13,14.12,30.9,22.4,29
F0151,8,7.43,0,23,27.67,21.2,12.5,42
F0152,4,5.11,1,9,20.99,19.4,15.0,100
F0153,0,1.23,0,21,22.0,19.2,17.2,21
F0154,18,7.39,0,6,25.92,22.9,17.6,91
F0155,9,2.74,1,12,8.59,24.9,23.4,55
F0156,11,5.04,0,2,24.31,34.1,24.9,81
F0157,14,2.16,0,3,6.26,17.8,18.6,54
F0158,8,1.24,0,3,10.69,31.9,8.6,55
F0159,19,3.18,1,12,10.4,27.2,22.2,52
F0160,16,6.46,0,15,29.37,21.6,3.1,51
F0161,16,2.94,1,9,25.77,26.3,7.3,82
F0162,19,2.54,1,23,21.18,21.9,22.6,44
F0163,11,2.49,0,8,21.95,28.7,7.9,50
F0164,6,4.61,1,11,17.08,25.0,7.1,87
F0165,1,7.83,0,16,28.44,18.8,5.2,59
F0166,2,4.21,0,22,15.14,17.7,21.8,36
F0167,16,4.9,1,4,11.73,27.6,13.5,87
F0168,4,7.02,1,1,5.31,35.8,17.5,100
F0169,16,4.75,1,24,23.69,22.9,7.5,67
F0170,16,2.29,0,7,22.17,31.9,19.4,64
F0171,16,3.1,0,2,11.84,30.1,19.5,63
F0172,1,3.17,0,24,1.24,36.4,9.2,13
F0173,1,3.78,0,5,25.25,33.9,11.4,72
F0174,4,3.99,0,7,0.84,28.0,6.8,51
F0175,0,6.6,0,4,21.26,30.1,24.5,93
F0176,0,3.45,0,5,29.12,35.7,16.8,73
F0177,18,4.28,0,24,13.41,24.2,23.5,23
F0178,1,5.37,0,1,7.43,22.5,9.0,76
F0179,11,3.64,0,1,21.29,15.2,20.0,85
F0180,5,6.86,1,15,24.61,34.0,19.6,80
F0181,3,5.11,0,20,16.62,33.4,17.9,30
F0182,10,3.06,1,19,29.03,17.4,24.2,59
F0183,16,6.0,1,10,2.02,28.3,11.1,90
F0184,5,4.69,0,18,15.39,25.7,5.0,38
F0185,4,4.74,1,3,21.69,17.7,17.4,100
F0186,19,4.37,0,11,25.95,37.6,18.8,56
F0187,1,4.48,0,15,5.79,19.9,15.2,30
F0188,5,6.36,0,11,24.1,16.5,6.8,76
F0189,10,1.72,0,17,16.8,28.7,13.6,27
F0190,15,3.34,0,17,12.2,32.0,9.2,19
F0191,15,1.53,0,6,4.39,15.7,11.8,42
F0192,0,6.27,1,5,26.03,30.2,16.8,100
F0193,8,2.91,1,8,5.14,27.2,19.1,72
F0194,5,7.28,0,2,9.64,17.4,7.3,77
F0195,15,4.69,1,16,9.06,19.0,11.3,51
F0196,2,6.61,0,20,26.21,28.1,8.2,49
F0197,19,7.85,0,24,20.34,21.8,6.6,47
F0198,3,6.88,1,12,24.0,36.6,20.0,92
F0199,18,7.07,0,6,7.89,33.8,22.9,71
F0200,2,3.86,0,1,18.93,37.6,10.5,94
F0201,18,4.86,0,4,17.37,21.0,19.3,77
F0202,19,2.78,0,17,25.07,37.3,22.6,33
F0203,6,2.37,1,13,27.23,24.9,21.5,70
F0204,19,4.54,0,18,0.86,23.0,6.2,16
F0205,8,5.17,1,5,20.38,16.2,24.0,100
F0206,0,3.37,0,24,2.03,16.2,10.7,19
F0207,7,4.99,0,24,16.69,30.9,9.8,39
F0208,6,7.21,0,3,8.99,25.5,3.4,85
F0209,17,4.9,1,11,9.55,20.2,13.2,69
F0210,7,6.05,0,13,10.91,29.1,4.5,43
F0211,0,6.64,1,4,18.83,20.8,7.7,100
F0212,10,7.92,1,14,10.35,28.3,9.3,79
F0213,17,5.22,0,22,22.11,23.3,20.6,41
F0214,9,6.65,1,11,12.43,33.9,22.1,84
F0215,2,7.74,1,10,2.52,33.9,9.0,94
F0216,6,7.61,1,19,23.62,26.0,21.8,76
F0217,15,1.99,0,18,8.93,23.1,21.7,22
F0218,15,3.84,0,6,13.27,23.3,19.6,56
F0219,19,3.27,0,15,20.72,33.5,5.4,34
F0220,16,1.61,0,21,10.31,22.5,17.9,11
F0221,1,5.43,0,10,2.17,19.8,23.7,43
F0222,0,6.15,1,5,11.53,16.9,17.7,95
F0223,15,6.94,0,5,28.36,25.7,9.6,93
F0224,11,1.86,0,10,19.43,26.1,13.5,54
F0225,4,7.14,1,5,20.31,34.3,16.9,100
F0226,4,5.5,1,3,19.15,20.1,13.7,100
F0227,8,5.93,0,23,6.37,23.8,4.8,23
F0228,8,7.37,1,6,12.84,33.6,9.2,97
F0229,2,5.37,0,4,22.65,33.9,20.5,78
F0230,18,3.35,0,18,3.49,23.8,21.8,14
F0231,15,6.78,1,9,8.7,25.6,5.2,81
F0232,15,3.54,0,17,8.65,22.0,23.9,18
F0233,2,1.24,0,13,13.24,36.4,9.6,25
F0234,19,6.81,0,15,29.42,17.7,17.2,54
F0235,0,3.42,0,20,2.49,36.5,19.3,15
F0236,19,6.42,0,17,15.8,30.7,20.7,53
F0237,10,3.54,0,13,5.79,27.2,23.8,38
F0238,16,7.03,1,16,29.13,15.8,9.2,78
F0239,7,2.54,1,22,3.84,25.9,21.7,37
F0240,3,7.82,0,4,12.41,24.4,5.0,84
F0241,5,6.46,0,5,22.27,18.7,18.2,88
F0242,7,1.8,0,5,21.28,30.1,19.1,76
F0243,19,4.96,0,9,12.97,37.3,17.6,58
F0244,2,7.9,1,17,10.72,27.9,7.8,74
F0245,15,4.3,0,13,12.23,31.4,22.1,26
F0246,2,2.27,0,2,8.3,16.6,5.9,64
F0247,17,4.39,1,13,6.56,24.6,3.2,62
F0248,13,4.59,1,22,14.75,17.7,18.5,43
F0249,17,6.19,1,21,8.42,29.1,12.9,46
F0250,1,5.89,0,23,8.98,36.6,21.5,26
F0251,2,3.82,0,19,19.87,30.2,10.8,24
F0252,15,2.53,0,3,29.07,16.8,5.9,78
F0253,8,5.52,0,10,18.31,23.2,21.2,63
F0254,3,3.95,1,2,2.77,27.7,14.6,92
F0255,0,1.93,1,13,2.73,24.3,6.4,56
F0256,3,7.3,1,19,28.57,34.2,18.6,73
F0257,0,5.84,1,17,9.27,33.7,13.8,63
F0258,13,5.78,0,21,3.22,29.1,15.9,18
F0259,15,6.76,1,14,18.17,23.6,12.6,85
F0260,19,4.71,0,12,18.9,20.9,21.1,62
F0261,7,6.71,0,21,19.63,17.4,21.1,44
F0262,6,4.49,0,12,8.39,23.2,18.3,44
F0263,2,1.47,0,11,0.95,24.5,4.4,38
F0264,16,3.84,0,7,28.97,30.5,21.3,67
F0265,0,4.48,1,4,7.9,30.1,17.4,88
F0266,15,6.04,0,19,20.44,16.6,18.0,45
F0267,11,1.75,0,1,21.35,24.1,10.3,78
F0268,18,1.98,0,24,18.5,19.2,22.2,29
F0269,13,2.85,1,3,9.73,18.6,18.7,89
F0270,5,2.87,0,13,8.5,34.0,4.6,29
F0271,5,6.13,1,15,18.13,16.0,11.4,81
F0272,12,2.76,0,2,26.05,24.6,22.4,76
F0273,18,5.43,1,11,28.43,18.9,3.1,93
F0274,7,4.46,0,4,3.62,35.2,24.1,59
F0275,1,5.01,1,19,5.07,27.8,17.6,54
F0276,0,6.87,1,17,28.37,20.3,16.5,78
F0277,14,3.83,0,3,22.23,26.6,8.2,80
F0278,0,6.4,0,18,26.55,31.8,7.7,50
F0279,4,3.95,0,8,6.48,37.0,23.7,54
F0280,15,3.48,0,22,17.83,20.1,8.9,36
F0281,18,7.71,0,24,21.18,35.4,19.8,52
F0282,3,2.29,1,19,20.56,36.5,11.0,54
F0283,2,1.63,0,5,12.54,36.1,5.2,47
F0284,16,6.4,0,7,0.95,29.6,2.2,62
F0285,16,1.48,0,21,17.7,29.5,14.5,21
F0286,11,6.86,0,8,7.97,24.3,24.4,69
F0287,13,4.06,1,5,13.78,32.3,10.5,84
F0288,5,7.41,0,17,28.75,27.2,10.2,52
F0289,2,6.05,1,5,12.27,30.6,9.9,100
F0290,8,5.27,1,4,25.27,24.9,14.0,100
F0291,4,7.65,1,22,6.06,31.8,12.1,52
F0292,16,3.78,1,19,20.34,34.0,22.2,62
F0293,13,7.68,0,21,29.32,18.4,13.6,45
F0294,2,1.95,1,2,3.51,34.2,13.7,80
F0295,0,4.39,0,11,0.75,27.4,5.2,50
F0296,19,2.89,0,22,13.29,34.4,24.6,8
F0297,0,4.78,1,13,3.23,24.9,7.7,65
F0298,2,2.13,1,15,22.58,23.7,3.7,63
F0299,17,6.89,1,12,27.48,36.0,17.3,93
F0300,9,6.92,0,22,13.3,20.8,15.7,17
F0301,2,7.69,0,21,8.13,34.4,11.5,29
F0302,7,2.08,1,22,13.31,26.1,11.7,39
F0303,13,5.36,0,11,21.84,26.8,20.1,70
F0304,17,4.32,1,7,0.77,22.1,6.5,76
F0305,14,3.41,1,5,17.89,28.2,20.9,100
F0306,1,3.46,0,17,18.59,22.5,16.9,34
F0307,9,3.89,0,24,19.31,15.9,11.6,29
F0308,1,5.93,0,20,7.64,21.3,12.5,22
F0309,16,5.19,0,9,21.56,15.1,7.9,69
F0310,7,4.22,1,14,3.2,37.5,19.3,65
F0311,0,1.53,0,12,6.38,37.2,13.8,31
F0312,8,1.54,1,6,26.39,24.1,9.4,88
F0313,10,1.02,0,17,22.29,31.8,15.7,33
F0314,15,7.77,1,19,0.91,23.0,24.9,55
F0315,6,1.04,0,19,7.83,30.4,12.0,7
F0316,9,1.72,0,16,6.82,33.5,23.2,24
F0317,2,3.2,0,12,8.49,36.8,9.9,39
F0318,17,6.65,1,12,7.8,24.2,3.3,73
F0319,12,7.73,1,20,2.34,33.0,6.7,48
F0320,6,6.53,1,6,14.04,21.1,11.6,95
F0321,3,5.83,0,23,22.12,37.8,7.1,30
F0322,12,4.65,0,4,18.4,15.6,2.0,81
F0323,19,1.61,0,6,20.35,28.9,23.0,69
F0324,0,7.71,0,11,2.89,30.2,21.4,61
F0325,7,6.31,0,1,28.57,30.8,19.1,87
F0326,13,5.47,1,24,25.24,17.8,5.9,63
F0327,15,6.31,1,23,24.25,36.6,4.8,64
F0328,13,6.07,1,15,24.78,19.2,3.6,73
F0329,11,5.46,1,11,28.01,29.3,18.7,91
F0330,18,7.86,0,19,16.56,20.1,23.4,47
F0331,14,7.32,0,18,6.41,22.1,11.9,33
F0332,1,5.53,0,17,18.7,27.6,4.7,47
F0333,1,5.85,1,19,22.42,24.6,13.8,63
F0334,18,1.36,0,21,22.27,18.7,10.0,21
F0335,16,5.69,0,14,15.88,18.9,10.6,53
F0336,19,1.31,0,18,2.52,24.6,16.3,9
F0337,9,5.12,0,19,11.45,32.4,18.5,28
F0338,5,8.0,1,15,27.66,35.7,4.5,92
F0339,14,4.89,1,15,17.74,16.9,2.8,66
F0340,10,4.31,0,4,16.38,24.0,24.9,84
F0341,4,3.19,1,7,8.43,17.3,7.4,84
F0342,0,1.84,1,13,11.37,15.4,3.2,61
F0343,7,6.12,0,3,26.91,30.2,6.4,93
F0344,11,2.35,0,16,20.16,28.9,2.9,31
F0345,11,1.81,0,9,23.73,18.7,11.0,58
F0346,4,3.95,0,8,13.9,20.4,20.5,47
F0347,6,6.57,1,20,19.09,15.5,9.8,65
F0348,3,6.22,0,13,7.83,34.2,12.2,48
F0349,5,1.38,1,17,21.31,37.4,17.5,50
F0350,12,4.19,0,17,13.11,18.1,13.7,20
F0351,19,4.66,0,17,13.56,20.3,21.8,30
F0352,14,5.51,0,1,19.66,35.0,21.9,100
F0353,2,5.55,0,8,28.12,36.3,2.2,79
F0354,7,3.55,0,19,2.39,24.7,19.9,21
F0355,19,4.92,1,6,24.83,16.2,12.6,100
F0356,15,4.37,0,3,9.13,15.9,24.7,72
F0357,12,7.19,1,5,13.6,28.2,13.1,100
F0358,17,4.71,0,13,1.15,24.0,24.7,44
F0359,9,4.09,0,15,9.38,15.7,19.4,25
F0360,18,3.83,0,14,15.33,28.4,7.7,49
F0361,16,5.01,0,23,2.16,15.3,14.4,20
F0362,18,6.63,0,16,14.99,33.1,24.8,39
F0363,4,4.77,0,18,27.85,22.0,21.7,38
F0364,8,5.63,0,22,3.61,15.9,4.2,25
F0365,11,6.16,0,22,23.05,28.5,18.2,36
F0366,0,4.64,0,11,12.59,24.1,9.9,43
F0367,0,3.99,0,3,19.83,37.4,2.2,79
F0368,14,7.14,1,22,8.18,27.5,11.3,58
F0369,1,3.92,1,10,5.21,21.3,7.4,71
F0370,15,4.23,0,10,5.23,31.3,20.8,45
F0371,7,7.93,0,21,2.58,21.2,9.8,30
F0372,12,1.0,1,16,5.98,35.8,21.0,41
F0373,0,2.3,1,12,20.09,23.6,2.0,81
F0374,15,3.69,0,2,26.51,27.6,9.1,78
F0375,6,7.53,1,9,24.52,16.2,7.5,100
F0376,4,1.49,0,24,20.71,24.8,7.4,23
F0377,2,1.07,0,3,3.76,34.1,3.6,51
F0378,11,1.37,1,24,9.03,33.5,6.3,38
F0379,15,1.62,0,15,9.64,20.2,14.8,24
F0380,18,1.26,1,3,7.87,20.2,8.7,79
F0381,4,4.36,1,19,15.69,33.8,11.6,51
F0382,13,5.07,0,18,16.3,36.4,10.7,42
F0383,4,2.9,0,8,11.03,17.2,22.1,47
F0384,14,3.79,0,17,10.94,25.4,22.8,19
F0385,16,1.64,0,8,24.94,22.8,13.3,52
F0386,13,3.35,1,7,23.78,35.0,9.6,97
F0387,19,4.66,0,7,9.58,16.9,4.5,48
F0388,4,6.13,0,3,27.46,19.9,23.9,92
F0389,11,1.02,1,1,28.61,32.3,3.4,100
F0390,15,4.27,0,4,10.14,16.2,8.8,68
F0391,15,3.08,1,5,10.96,26.3,8.9,81
F0392,6,6.97,0,1,15.42,25.2,9.4,100
F0393,3,6.01,1,15,28.26,22.7,5.8,75
F0394,0,5.12,0,5,26.35,24.1,20.0,80
F0395,4,2.94,0,13,3.53,27.2,4.8,35
F0396,9,7.37,0,8,12.09,18.7,16.6,66
F0397,4,1.32,0,8,16.82,28.2,4.8,58
F0398,3,1.77,1,5,15.34,33.5,3.6,87
F0399,1,3.74,1,9,6.22,32.5,22.9,70
F0400,19,1.87,1,1,25.84,18.5,6.4,100
F0401,9,7.69,0,4,20.47,18.4,20.9,92
F0402,18,6.59,0,3,25.22,21.2,14.5,99
F0403,0,2.81,0,2,25.83,23.3,3.8,78
F0404,4,5.12,0,8,22.58,24.4,24.0,66
F0405,12,7.88,1,23,13.46,30.6,7.7,59
F0406,3,7.19,0,9,18.51,16.3,21.8,83
F0407,15,5.21,0,2,5.23,15.8,5.9,69
F0408,15,7.33,0,14,20.37,24.0,21.6,72
F0409,1,7.92,1,14,5.79,31.0,2.3,77
F0410,16,6.2,1,4,20.97,19.4,13.8,100
F0411,19,1.45,1,6,7.27,29.8,19.7,80
F0412,11,3.81,0,11,3.97,21.0,23.5,47
F0413,17,6.86,0,3,5.38,35.4,22.9,78
F0414,2,2.61,1,8,0.56,35.6,20.9,78
F0415,0,6.81,1,3,21.7,21.8,22.4,100
F0416,0,1.84,0,14,22.11,20.3,6.6,46
F0417,18,1.33,1,13,15.69,24.5,8.5,72
F0418,10,3.69,1,13,5.26,20.5,8.6,55
F0419,4,1.26,1,2,2.96,30.5,10.7,88
F0420,11,7.7,1,13,1.06,34.0,11.0,76
F0421,2,6.78,0,19,5.39,30.5,14.5,31
F0422,0,6.61,0,6,26.78,34.0,5.7,84
F0423,0,5.41,0,16,7.63,24.1,17.9,34
F0424,7,2.51,1,2,10.95,18.6,5.9,97
F0425,9,4.63,1,8,3.61,32.0,9.1,73
F0426,10,5.18,1,17,7.06,23.3,13.6,46
F0427,11,4.68,0,23,15.82,30.4,20.3,24
F0428,12,2.82,1,2,18.43,21.2,19.0,100
F0429,11,4.61,1,10,7.74,16.9,16.8,70
F0430,13,4.44,1,16,2.2,37.8,5.6,55
F0431,1,7.97,1,6,12.04,18.6,14.6,98
F0432,18,7.28,1,2,7.41,37.7,4.0,100
F0433,17,4.24,0,2,6.98,37.5,10.7,75
F0434,2,5.36,0,13,28.82,33.3,11.5,57
F0435,16,6.24,0,24,18.68,30.2,2.9,39
F0436,7,1.24,0,15,16.93,28.3,8.3,36
F0437,9,7.26,1,2,12.77,34.9,24.0,100
F0438,1,7.02,1,7,13.15,21.7,23.9,87
F0439,18,4.2,0,3,16.46,25.8,10.1,87
F0440,8,3.74,0,8,21.04,29.2,3.0,73
F0441,6,2.91,1,23,21.21,24.5,6.1,45
F0442,3,4.34,0,14,5.56,24.8,11.0,37
F0443,17,1.31,0,24,15.25,22.6,23.8,19
F0444,12,6.97,0,23,12.65,28.0,5.2,31
F0445,10,1.25,0,22,26.18,34.6,19.6,14
F0446,3,3.3,0,7,19.13,19.6,4.5,75
F0447,3,7.52,0,21,16.21,36.5,24.6,37
F0448,9,6.15,0,7,3.9,30.8,10.8,62
F0449,4,2.97,1,1,18.37,33.9,19.8,100
F0450,8,2.77,0,17,3.96,27.8,9.9,17
F0451,2,1.04,1,9,10.45,32.9,16.4,58
F0452,16,5.87,0,21,4.71,15.4,6.4,25
F0453,2,1.34,0,13,20.92,33.8,5.4,42
F0454,15,4.73,1,21,6.58,15.9,23.6,44
F0455,3,7.73,0,19,12.06,35.5,23.1,38
F0456,17,1.77,0,21,26.92,37.8,22.4,20
F0457,16,7.26,0,19,6.53,21.8,16.4,34
F0458,6,7.94,1,22,15.48,19.8,20.6,69
F0459,4,1.43,0,17,12.87,32.6,3.6,10
F0460,11,7.18,0,23,1.03,20.8,9.7,27
F0461,16,4.61,1,23,23.89,34.9,9.2,56
F0462,12,7.35,0,10,2.54,17.4,16.6,57
F0463,2,5.0,1,10,14.49,17.9,10.2,81
F0464,8,5.63,1,4,17.04,37.5,5.4,100
F0465,16,4.81,1,8,19.04,30.5,15.7,92
F0466,16,7.05,0,22,20.81,34.5,20.7,43
F0467,19,6.14,1,20,7.97,22.5,10.8,50
F0468,15,4.65,0,20,0.79,30.6,5.0,13
F0469,12,7.08,0,18,21.84,28.7,6.5,48
F0470,18,2.72,0,14,16.3,28.9,7.5,42
F0471,16,2.1,1,18,25.17,30.7,8.9,54
F0472,3,2.12,0,14,24.73,28.2,16.8,45
F0473,11,3.34,0,20,25.38,24.9,15.8,29
F0474,8,2.67,0,21,14.81,21.3,18.0,17
F0475,18,7.51,1,24,10.34,32.7,10.3,55
F0476,11,1.74,1,15,23.85,20.2,21.0,71
F0477,8,5.89,1,22,13.81,30.9,6.7,46
F0478,6,2.32,0,4,5.91,20.4,12.8,53
F0479,13,7.17,0,13,25.72,29.4,20.4,67
F0480,19,7.73,1,23,26.54,32.2,6.1,78
F0481,18,4.26,0,8,14.26,20.0,4.5,46
F0482,14,7.15,0,18,2.73,16.4,22.3,34
F0483,15,1.04,1,12,11.94,18.0,9.9,50
F0484,4,6.74,1,23,24.2,28.9,17.7,68
F0485,2,2.6,1,14,27.1,34.5,2.6,68
F0486,11,7.36,1,2,6.5,16.0,17.9,100
F0487,19,1.01,1,18,2.48,31.9,9.3,34
F0488,3,4.89,0,24,26.38,22.9,3.3,41
F0489,15,6.3,0,2,11.99,26.0,16.0,78
F0490,6,2.81,1,11,16.48,36.4,7.5,83
F0491,12,2.35,0,9,29.06,22.6,10.9,59
F0492,9,1.59,1,12,2.46,25.7,3.9,64
F0493,6,3.29,0,17,19.63,15.3,5.4,30
